"Type","Op","Size","Time"
mpi_np,mul,67108864,0.289516233
mpi_np,div,67108864,0.386347143
mpi_np,max,67108864,0.082238408
mpi_np,mean,67108864,0.115778380
mpi_np,sum,67108864,0.115621277
mpi_np,std,67108864,0.816464016
mpi_np,slice,67108864,0.337342035
mpi_np,iterate,67108864,5.452561172
mpi_np,creation,134217728,15.064635894
mpi_np,add,134217728,0.547761915
mpi_np,sub,134217728,0.554134230
mpi_np,mul,134217728,0.548291255
mpi_np,div,134217728,0.755189017
mpi_np,max,134217728,0.163491694
mpi_np,mean,134217728,0.231226623
mpi_np,sum,134217728,0.231198852
mpi_np,std,134217728,1.566006024
mpi_np,slice,134217728,0.659841237
mpi_np,iterate,134217728,11.009508631
