"Type","Op","Size","Time"
mpi_np,empty,262144,0.000085494
mpi_np,arange,262144,0.001484096
mpi_np,local_slicing,262144,0.000000979
mpi_np,local_setting,262144,0.000000614
mpi_np,global_setting,262144,0.000009086
mpi_np,local_getting,262144,0.000000602
mpi_np,global_getting,262144,0.000183718
mpi_np,empty,524288,0.000083771
mpi_np,arange,524288,0.002756011
mpi_np,local_slicing,524288,0.000000946
mpi_np,local_setting,524288,0.000000607
mpi_np,global_setting,524288,0.000009012
mpi_np,local_getting,524288,0.000000615
mpi_np,global_getting,524288,0.000182048
mpi_np,empty,1048576,0.000084102
mpi_np,arange,1048576,0.005447287
mpi_np,local_slicing,1048576,0.000000961
mpi_np,local_setting,1048576,0.000000591
mpi_np,global_setting,1048576,0.000008908
mpi_np,local_getting,1048576,0.000000564
mpi_np,global_getting,1048576,0.000183729
mpi_np,empty,2097152,0.000084969
mpi_np,arange,2097152,0.010594566
mpi_np,local_slicing,2097152,0.000000944
mpi_np,local_setting,2097152,0.000000599
mpi_np,global_setting,2097152,0.000008989
mpi_np,local_getting,2097152,0.000000586
mpi_np,global_getting,2097152,0.000183210
mpi_np,empty,4194304,0.000105097
mpi_np,arange,4194304,0.028516433
mpi_np,local_slicing,4194304,0.000000954
mpi_np,local_setting,4194304,0.000000588
mpi_np,global_setting,4194304,0.000009019
mpi_np,local_getting,4194304,0.000000552
mpi_np,global_getting,4194304,0.000184208
mpi_np,empty,8388608,0.000103803
mpi_np,arange,8388608,0.056022897
mpi_np,local_slicing,8388608,0.000000957
mpi_np,local_setting,8388608,0.000000583
mpi_np,global_setting,8388608,0.000008925
mpi_np,local_getting,8388608,0.000000558
mpi_np,global_getting,8388608,0.000184216
mpi_np,empty,16777216,0.000104240
mpi_np,arange,16777216,0.111090221
mpi_np,local_slicing,16777216,0.000000960
mpi_np,local_setting,16777216,0.000000571
mpi_np,global_setting,16777216,0.000008920
mpi_np,local_getting,16777216,0.000000550
mpi_np,global_getting,16777216,0.000184768
mpi_np,empty,33554432,0.000105026
mpi_np,arange,33554432,0.220966973
mpi_np,local_slicing,33554432,0.000000957
mpi_np,local_setting,33554432,0.000000586
mpi_np,global_setting,33554432,0.000009014
mpi_np,local_getting,33554432,0.000000565
mpi_np,global_getting,33554432,0.000186094
mpi_np,empty,67108864,0.000108598
mpi_np,arange,67108864,0.442077974
mpi_np,local_slicing,67108864,0.000000953
mpi_np,local_setting,67108864,0.000000567
mpi_np,global_setting,67108864,0.000008848
mpi_np,local_getting,67108864,0.000000549
mpi_np,global_getting,67108864,0.000186824
mpi_np,empty,134217728,0.000113182
mpi_np,arange,134217728,0.950401515
mpi_np,local_slicing,134217728,0.000000949
mpi_np,local_setting,134217728,0.000000588
mpi_np,global_setting,134217728,0.000009006
mpi_np,local_getting,134217728,0.000000555
mpi_np,global_getting,134217728,0.000186657
np,empty,1,0.000003111
np,arange,1,0.000002198
np,setting,1,0.000000181
np,getting,1,0.000000184
np,empty,2,0.000003013
